,serial_number,manufacturer,model,dt,smart_5_normalized,smart_187_normalized,smart_188_normalized,smart_197_normalized,smart_198_normalized,smart_9_normalized,smart_193_normalized,smart_194_normalized,smart_241_normalized,smart_242_normalized,faulty
371,disk_30546,A,1,20170716,89.0,1.0,100.0,97.0,97.0,78.0,100.0,25.0,0.0,0.0,1
437,disk_42711,A,1,20170709,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
438,disk_42711,A,1,20170711,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
439,disk_42711,A,1,20170721,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
440,disk_42711,A,1,20170722,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
441,disk_42711,A,1,20170713,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
442,disk_42711,A,1,20170715,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
443,disk_42711,A,1,20170710,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
444,disk_42711,A,1,20170718,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
445,disk_42711,A,1,20170716,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
446,disk_42711,A,1,20170720,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
447,disk_42711,A,1,20170717,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
448,disk_42711,A,1,20170719,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
449,disk_42711,A,1,20170712,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
450,disk_44296,A,1,20170713,100.0,100.0,100.0,100.0,100.0,69.0,100.0,34.0,0.0,0.0,1
451,disk_44296,A,1,20170710,100.0,100.0,100.0,100.0,100.0,69.0,100.0,34.0,0.0,0.0,1
452,disk_44296,A,1,20170717,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
453,disk_44296,A,1,20170724,100.0,100.0,100.0,100.0,100.0,69.0,100.0,34.0,0.0,0.0,1
454,disk_44296,A,1,20170723,100.0,100.0,100.0,100.0,100.0,69.0,100.0,33.0,0.0,0.0,1
455,disk_44296,A,1,20170709,100.0,100.0,100.0,100.0,100.0,69.0,100.0,34.0,0.0,0.0,1
456,disk_44296,A,1,20170719,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
457,disk_44296,A,1,20170718,100.0,100.0,100.0,100.0,100.0,69.0,100.0,34.0,0.0,0.0,1
458,disk_44296,A,1,20170715,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
459,disk_44296,A,1,20170721,100.0,100.0,100.0,100.0,100.0,69.0,100.0,34.0,0.0,0.0,1
460,disk_44296,A,1,20170711,100.0,100.0,100.0,100.0,100.0,69.0,100.0,34.0,0.0,0.0,1
461,disk_44296,A,1,20170722,100.0,100.0,100.0,100.0,100.0,69.0,100.0,34.0,0.0,0.0,1
462,disk_44296,A,1,20170716,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
463,disk_44296,A,1,20170725,100.0,100.0,100.0,100.0,100.0,69.0,100.0,34.0,0.0,0.0,1
464,disk_44296,A,1,20170726,100.0,100.0,100.0,100.0,100.0,69.0,100.0,34.0,0.0,0.0,1
465,disk_44296,A,1,20170712,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
466,disk_44296,A,1,20170720,100.0,100.0,100.0,100.0,100.0,69.0,100.0,35.0,0.0,0.0,1
522,disk_61196,A,1,20170718,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
523,disk_61196,A,1,20170722,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
524,disk_61196,A,1,20170726,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
525,disk_61196,A,1,20170715,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
526,disk_61196,A,1,20170714,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
527,disk_61196,A,1,20170711,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
528,disk_61196,A,1,20170716,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
529,disk_61196,A,1,20170709,100.0,100.0,100.0,100.0,100.0,79.0,100.0,30.0,0.0,0.0,1
530,disk_61196,A,1,20170717,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
531,disk_61196,A,1,20170724,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
532,disk_61196,A,1,20170721,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
533,disk_61196,A,1,20170723,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
534,disk_61196,A,1,20170725,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
535,disk_61196,A,1,20170710,100.0,100.0,100.0,100.0,100.0,79.0,100.0,30.0,0.0,0.0,1
536,disk_61196,A,1,20170720,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
537,disk_61196,A,1,20170712,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
538,disk_61196,A,1,20170719,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
539,disk_61196,A,1,20170713,100.0,100.0,100.0,100.0,100.0,78.0,100.0,30.0,0.0,0.0,1
800,disk_37623,A,1,20170717,100.0,100.0,100.0,100.0,100.0,71.0,100.0,32.0,0.0,0.0,1
801,disk_37623,A,1,20170727,100.0,97.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
802,disk_37623,A,1,20170718,100.0,100.0,100.0,100.0,100.0,71.0,100.0,31.0,0.0,0.0,1
803,disk_37623,A,1,20170712,100.0,100.0,100.0,100.0,100.0,71.0,100.0,32.0,0.0,0.0,1
804,disk_37623,A,1,20170709,100.0,100.0,100.0,100.0,100.0,71.0,100.0,32.0,0.0,0.0,1
805,disk_37623,A,1,20170725,100.0,100.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
806,disk_37623,A,1,20170714,100.0,100.0,100.0,100.0,100.0,71.0,100.0,32.0,0.0,0.0,1
807,disk_37623,A,1,20170720,100.0,100.0,100.0,100.0,100.0,71.0,100.0,32.0,0.0,0.0,1
808,disk_37623,A,1,20170716,100.0,100.0,100.0,100.0,100.0,71.0,100.0,32.0,0.0,0.0,1
809,disk_37623,A,1,20170715,100.0,100.0,100.0,100.0,100.0,71.0,100.0,32.0,0.0,0.0,1
810,disk_37623,A,1,20170710,100.0,100.0,100.0,100.0,100.0,71.0,100.0,31.0,0.0,0.0,1
811,disk_37623,A,1,20170711,100.0,100.0,100.0,100.0,100.0,71.0,100.0,32.0,0.0,0.0,1
812,disk_37623,A,1,20170719,100.0,100.0,100.0,100.0,100.0,71.0,100.0,32.0,0.0,0.0,1
813,disk_37623,A,1,20170724,100.0,100.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
814,disk_37623,A,1,20170726,100.0,97.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
815,disk_37623,A,1,20170723,100.0,100.0,100.0,100.0,100.0,70.0,100.0,31.0,0.0,0.0,1
861,disk_43271,A,1,20170709,100.0,100.0,100.0,100.0,100.0,75.0,100.0,30.0,0.0,0.0,1
862,disk_43271,A,1,20170712,100.0,100.0,100.0,100.0,100.0,75.0,100.0,30.0,0.0,0.0,1
863,disk_43271,A,1,20170711,100.0,100.0,100.0,100.0,100.0,75.0,100.0,30.0,0.0,0.0,1
864,disk_43271,A,1,20170717,100.0,99.0,100.0,100.0,100.0,74.0,100.0,30.0,0.0,0.0,1
865,disk_43271,A,1,20170716,100.0,100.0,100.0,100.0,100.0,74.0,100.0,30.0,0.0,0.0,1
866,disk_43271,A,1,20170714,100.0,100.0,100.0,100.0,100.0,75.0,100.0,30.0,0.0,0.0,1
867,disk_43271,A,1,20170713,100.0,100.0,100.0,100.0,100.0,75.0,100.0,30.0,0.0,0.0,1
868,disk_43271,A,1,20170715,100.0,100.0,100.0,100.0,100.0,75.0,100.0,30.0,0.0,0.0,1
869,disk_43271,A,1,20170710,100.0,100.0,100.0,100.0,100.0,75.0,100.0,30.0,0.0,0.0,1
994,disk_91432,A,1,20170730,100.0,95.0,100.0,100.0,100.0,93.0,100.0,28.0,0.0,0.0,1
995,disk_91432,A,1,20170731,100.0,95.0,100.0,100.0,100.0,93.0,100.0,28.0,0.0,0.0,1
996,disk_91432,A,1,20170728,100.0,98.0,100.0,100.0,100.0,93.0,100.0,28.0,0.0,0.0,1
997,disk_91432,A,1,20170729,100.0,98.0,100.0,100.0,100.0,93.0,100.0,28.0,0.0,0.0,1
1039,disk_110667,A,1,20170715,100.0,100.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
1040,disk_110667,A,1,20170718,100.0,100.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
1041,disk_110667,A,1,20170717,100.0,100.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
1042,disk_110667,A,1,20170711,100.0,100.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
1043,disk_110667,A,1,20170713,100.0,100.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
1044,disk_110667,A,1,20170716,100.0,100.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
1045,disk_110667,A,1,20170720,100.0,100.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
1046,disk_110667,A,1,20170714,100.0,100.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
1047,disk_110667,A,1,20170719,100.0,100.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
1048,disk_110667,A,1,20170712,100.0,100.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
1049,disk_110667,A,1,20170709,100.0,100.0,100.0,100.0,100.0,71.0,100.0,32.0,0.0,0.0,1
1050,disk_110667,A,1,20170710,100.0,100.0,100.0,100.0,100.0,70.0,100.0,32.0,0.0,0.0,1
1051,disk_11565,A,1,20170711,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1052,disk_11565,A,1,20170719,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1053,disk_11565,A,1,20170709,100.0,100.0,100.0,100.0,100.0,89.0,99.0,27.0,0.0,0.0,1
1054,disk_11565,A,1,20170725,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1055,disk_11565,A,1,20170727,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1056,disk_11565,A,1,20170720,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1057,disk_11565,A,1,20170718,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1058,disk_11565,A,1,20170724,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1059,disk_11565,A,1,20170712,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1060,disk_11565,A,1,20170717,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1061,disk_11565,A,1,20170710,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1062,disk_11565,A,1,20170723,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1063,disk_11565,A,1,20170716,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1064,disk_11565,A,1,20170715,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1065,disk_11565,A,1,20170721,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1066,disk_11565,A,1,20170726,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1067,disk_11565,A,1,20170714,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1068,disk_11565,A,1,20170713,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1069,disk_11565,A,1,20170722,100.0,100.0,100.0,100.0,100.0,88.0,99.0,27.0,0.0,0.0,1
1133,disk_140979,A,1,20170728,100.0,100.0,100.0,100.0,100.0,81.0,100.0,28.0,0.0,0.0,1
1134,disk_140979,A,1,20170721,100.0,100.0,100.0,100.0,100.0,81.0,100.0,28.0,0.0,0.0,1
1135,disk_140979,A,1,20170714,100.0,100.0,100.0,100.0,100.0,81.0,100.0,28.0,0.0,0.0,1
1136,disk_140979,A,1,20170711,100.0,100.0,100.0,100.0,100.0,81.0,100.0,28.0,0.0,0.0,1
1137,disk_140979,A,1,20170718,100.0,100.0,100.0,100.0,100.0,81.0,100.0,29.0,0.0,0.0,1
1138,disk_140979,A,1,20170716,100.0,100.0,100.0,100.0,100.0,81.0,100.0,28.0,0.0,0.0,1
1139,disk_140979,A,1,20170717,100.0,100.0,100.0,100.0,100.0,81.0,100.0,28.0,0.0,0.0,1
1140,disk_140979,A,1,20170720,100.0,100.0,100.0,100.0,100.0,81.0,100.0,28.0,0.0,0.0,1
1141,disk_140979,A,1,20170722,100.0,100.0,100.0,100.0,100.0,81.0,100.0,28.0,0.0,0.0,1
1142,disk_140979,A,1,20170712,100.0,100.0,100.0,100.0,100.0,81.0,100.0,28.0,0.0,0.0,1
1157,disk_143171,A,1,20170718,100.0,100.0,100.0,100.0,100.0,80.0,100.0,29.0,0.0,0.0,1
1158,disk_143171,A,1,20170720,100.0,100.0,100.0,100.0,100.0,80.0,100.0,30.0,0.0,0.0,1
1159,disk_143171,A,1,20170710,100.0,100.0,100.0,100.0,100.0,80.0,100.0,28.0,0.0,0.0,1
1160,disk_143171,A,1,20170726,100.0,100.0,100.0,100.0,100.0,80.0,100.0,29.0,0.0,0.0,1
1161,disk_143171,A,1,20170709,100.0,100.0,100.0,100.0,100.0,80.0,100.0,29.0,0.0,0.0,1
1162,disk_143171,A,1,20170714,100.0,100.0,100.0,100.0,100.0,80.0,100.0,28.0,0.0,0.0,1
1163,disk_143171,A,1,20170722,100.0,100.0,100.0,100.0,100.0,80.0,100.0,28.0,0.0,0.0,1
1164,disk_143171,A,1,20170724,100.0,100.0,100.0,100.0,100.0,80.0,100.0,29.0,0.0,0.0,1
1165,disk_143171,A,1,20170716,100.0,100.0,100.0,100.0,100.0,80.0,100.0,29.0,0.0,0.0,1
1166,disk_143171,A,1,20170715,100.0,100.0,100.0,100.0,100.0,80.0,100.0,29.0,0.0,0.0,1
1167,disk_143171,A,1,20170725,100.0,100.0,100.0,100.0,100.0,80.0,100.0,29.0,0.0,0.0,1
1168,disk_143171,A,1,20170721,100.0,100.0,100.0,100.0,100.0,80.0,100.0,30.0,0.0,0.0,1
1169,disk_143171,A,1,20170728,100.0,1.0,100.0,99.0,99.0,80.0,100.0,27.0,0.0,0.0,1
1170,disk_143171,A,1,20170712,100.0,100.0,100.0,100.0,100.0,80.0,100.0,29.0,0.0,0.0,1
1171,disk_143171,A,1,20170719,100.0,100.0,100.0,100.0,100.0,80.0,100.0,29.0,0.0,0.0,1
1172,disk_143171,A,1,20170723,100.0,100.0,100.0,100.0,100.0,80.0,100.0,28.0,0.0,0.0,1
1173,disk_143171,A,1,20170717,100.0,100.0,100.0,100.0,100.0,80.0,100.0,28.0,0.0,0.0,1
1174,disk_143171,A,1,20170711,100.0,100.0,100.0,100.0,100.0,80.0,100.0,29.0,0.0,0.0,1
1175,disk_143171,A,1,20170713,100.0,100.0,100.0,100.0,100.0,80.0,100.0,28.0,0.0,0.0,1
1176,disk_143171,A,1,20170727,100.0,100.0,100.0,100.0,100.0,80.0,100.0,29.0,0.0,0.0,1
1261,disk_29871,A,1,20170710,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1262,disk_29871,A,1,20170724,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1263,disk_29871,A,1,20170721,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1264,disk_29871,A,1,20170715,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1265,disk_29871,A,1,20170726,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1266,disk_29871,A,1,20170712,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1267,disk_29871,A,1,20170717,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1268,disk_29871,A,1,20170719,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1269,disk_29871,A,1,20170714,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1270,disk_29871,A,1,20170718,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1271,disk_29871,A,1,20170728,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1272,disk_29871,A,1,20170716,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1273,disk_29871,A,1,20170709,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1274,disk_29871,A,1,20170725,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1275,disk_29871,A,1,20170711,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1276,disk_29871,A,1,20170727,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1277,disk_29871,A,1,20170713,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1278,disk_29871,A,1,20170723,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1279,disk_29871,A,1,20170729,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1280,disk_29871,A,1,20170720,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1281,disk_29871,A,1,20170722,100.0,100.0,100.0,100.0,100.0,78.0,100.0,28.0,0.0,0.0,1
1488,disk_19504,A,1,20170715,100.0,100.0,100.0,100.0,100.0,96.0,100.0,30.0,0.0,0.0,1
1489,disk_19504,A,1,20170711,100.0,100.0,100.0,100.0,100.0,96.0,100.0,30.0,0.0,0.0,1
1490,disk_19504,A,1,20170710,100.0,100.0,100.0,100.0,100.0,96.0,100.0,29.0,0.0,0.0,1
1491,disk_19504,A,1,20170714,100.0,100.0,100.0,100.0,100.0,96.0,100.0,30.0,0.0,0.0,1
1492,disk_19504,A,1,20170709,100.0,100.0,100.0,100.0,100.0,96.0,100.0,29.0,0.0,0.0,1
1493,disk_19504,A,1,20170712,100.0,100.0,100.0,100.0,100.0,96.0,100.0,30.0,0.0,0.0,1
1494,disk_19504,A,1,20170717,100.0,100.0,100.0,100.0,100.0,96.0,100.0,30.0,0.0,0.0,1
1495,disk_19504,A,1,20170722,97.0,100.0,100.0,100.0,100.0,96.0,100.0,33.0,0.0,0.0,1
1496,disk_19504,A,1,20170716,100.0,100.0,100.0,100.0,100.0,96.0,100.0,30.0,0.0,0.0,1
1497,disk_19504,A,1,20170719,100.0,100.0,100.0,100.0,100.0,96.0,100.0,30.0,0.0,0.0,1
1498,disk_19504,A,1,20170720,100.0,100.0,100.0,100.0,100.0,96.0,100.0,30.0,0.0,0.0,1
1499,disk_19504,A,1,20170721,98.0,100.0,100.0,100.0,100.0,96.0,100.0,35.0,0.0,0.0,1
1500,disk_19504,A,1,20170718,100.0,100.0,100.0,100.0,100.0,96.0,100.0,30.0,0.0,0.0,1
1513,disk_24760,A,1,20170714,100.0,100.0,100.0,100.0,100.0,69.0,100.0,30.0,0.0,0.0,1
1514,disk_24760,A,1,20170711,100.0,100.0,100.0,100.0,100.0,69.0,100.0,30.0,0.0,0.0,1
1515,disk_24760,A,1,20170712,100.0,100.0,100.0,100.0,100.0,69.0,100.0,30.0,0.0,0.0,1
1516,disk_24760,A,1,20170710,100.0,100.0,100.0,100.0,100.0,69.0,100.0,30.0,0.0,0.0,1
1517,disk_24760,A,1,20170709,100.0,100.0,100.0,100.0,100.0,69.0,100.0,30.0,0.0,0.0,1
1899,disk_71265,A,1,20170723,100.0,100.0,100.0,100.0,100.0,82.0,100.0,31.0,0.0,0.0,1
1900,disk_71265,A,1,20170716,100.0,100.0,100.0,100.0,100.0,82.0,100.0,31.0,0.0,0.0,1
1901,disk_71265,A,1,20170710,100.0,100.0,100.0,100.0,100.0,82.0,100.0,30.0,0.0,0.0,1
1902,disk_71265,A,1,20170714,100.0,100.0,100.0,100.0,100.0,82.0,100.0,31.0,0.0,0.0,1
1903,disk_71265,A,1,20170718,100.0,100.0,100.0,100.0,100.0,82.0,100.0,31.0,0.0,0.0,1
1904,disk_71265,A,1,20170717,100.0,100.0,100.0,100.0,100.0,82.0,100.0,31.0,0.0,0.0,1
1905,disk_71265,A,1,20170709,100.0,100.0,100.0,100.0,100.0,82.0,100.0,30.0,0.0,0.0,1
1906,disk_71265,A,1,20170724,100.0,100.0,100.0,100.0,100.0,82.0,100.0,31.0,0.0,0.0,1
1907,disk_71265,A,1,20170722,100.0,100.0,100.0,100.0,100.0,82.0,100.0,31.0,0.0,0.0,1
1908,disk_71265,A,1,20170713,100.0,100.0,100.0,100.0,100.0,82.0,100.0,29.0,0.0,0.0,1
1909,disk_71265,A,1,20170721,100.0,100.0,100.0,100.0,100.0,82.0,100.0,31.0,0.0,0.0,1
1910,disk_71265,A,1,20170719,100.0,100.0,100.0,100.0,100.0,82.0,100.0,31.0,0.0,0.0,1
1911,disk_71265,A,1,20170726,100.0,100.0,100.0,100.0,100.0,82.0,100.0,31.0,0.0,0.0,1
1912,disk_71265,A,1,20170725,100.0,100.0,100.0,100.0,100.0,82.0,100.0,31.0,0.0,0.0,1
1913,disk_71265,A,1,20170720,100.0,100.0,100.0,100.0,100.0,82.0,100.0,31.0,0.0,0.0,1
1914,disk_71265,A,1,20170727,100.0,100.0,100.0,100.0,100.0,82.0,100.0,31.0,0.0,0.0,1
1915,disk_71265,A,1,20170711,100.0,100.0,100.0,100.0,100.0,82.0,100.0,30.0,0.0,0.0,1
1916,disk_71265,A,1,20170712,100.0,100.0,100.0,100.0,100.0,82.0,100.0,29.0,0.0,0.0,1
1965,disk_148265,A,1,20170719,100.0,100.0,100.0,100.0,100.0,84.0,100.0,30.0,0.0,0.0,1
1966,disk_148265,A,1,20170718,100.0,100.0,100.0,100.0,100.0,84.0,100.0,31.0,0.0,0.0,1
1967,disk_148265,A,1,20170710,100.0,100.0,100.0,100.0,100.0,85.0,100.0,29.0,0.0,0.0,1
1968,disk_148265,A,1,20170709,100.0,100.0,100.0,100.0,100.0,85.0,100.0,29.0,0.0,0.0,1
1969,disk_148265,A,1,20170712,100.0,100.0,100.0,100.0,100.0,85.0,100.0,30.0,0.0,0.0,1
1970,disk_148265,A,1,20170720,100.0,100.0,100.0,100.0,100.0,84.0,100.0,30.0,0.0,0.0,1
1971,disk_148265,A,1,20170711,100.0,100.0,100.0,100.0,100.0,85.0,100.0,29.0,0.0,0.0,1
1972,disk_148265,A,1,20170714,100.0,100.0,100.0,100.0,100.0,84.0,100.0,30.0,0.0,0.0,1
1973,disk_148265,A,1,20170716,100.0,100.0,100.0,100.0,100.0,84.0,100.0,30.0,0.0,0.0,1
1974,disk_148265,A,1,20170713,100.0,100.0,100.0,100.0,100.0,84.0,100.0,30.0,0.0,0.0,1
