,serial_number,manufacturer,model,smart_5_normalized,smart_9_normalized,smart_187_normalized,smart_188_normalized,smart_193_normalized,smart_194_normalized,smart_197_normalized,smart_198_normalized,smart_241_normalized,smart_242_normalized,dt,faulty
27,disk_42711,A,1,100.0,69.0,100.0,100.0,100.0,35.0,100.0,100.0,0.0,0.0,20170710,1
28,disk_69234,A,1,100.0,81.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170721,0
29,disk_69507,A,1,100.0,82.0,100.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170723,0
30,disk_70776,A,1,100.0,81.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170713,0
31,disk_70820,A,1,100.0,82.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170712,0
32,disk_69522,A,1,100.0,82.0,100.0,100.0,100.0,23.0,100.0,100.0,0.0,0.0,20170716,0
33,disk_70166,A,1,100.0,81.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170724,0
34,disk_143171,A,1,100.0,80.0,1.0,100.0,100.0,27.0,99.0,99.0,0.0,0.0,20170728,1
35,disk_70244,A,1,100.0,83.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170709,0
36,disk_29871,A,1,100.0,78.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170724,1
37,disk_118621,A,2,100.0,89.0,100.0,100.0,100.0,30.0,100.0,100.0,100.0,100.0,20170716,1
38,disk_67010,A,1,98.0,81.0,98.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170709,1
39,disk_71265,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170717,1
40,disk_69492,A,1,100.0,82.0,100.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170722,0
41,disk_70569,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170727,0
42,disk_67010,A,1,98.0,81.0,98.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170714,1
43,disk_37623,A,1,100.0,71.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170715,1
44,disk_7054,A,1,100.0,88.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170725,0
45,disk_69942,A,1,100.0,81.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170731,0
46,disk_6937,A,1,100.0,88.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170728,0
47,disk_121839,A,2,100.0,91.0,100.0,100.0,100.0,30.0,100.0,100.0,100.0,100.0,20170730,1
48,disk_30546,A,1,89.0,78.0,1.0,100.0,100.0,25.0,97.0,97.0,0.0,0.0,20170722,1
49,disk_42711,A,1,100.0,69.0,100.0,100.0,100.0,35.0,100.0,100.0,0.0,0.0,20170715,1
50,disk_67010,A,1,98.0,81.0,98.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170715,1
51,disk_60379,A,1,100.0,78.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170710,1
52,disk_70194,A,1,100.0,80.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170716,0
53,disk_30546,A,1,89.0,79.0,1.0,100.0,100.0,25.0,97.0,97.0,0.0,0.0,20170709,1
54,disk_6971,A,1,100.0,88.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170729,0
55,disk_118621,A,2,100.0,89.0,100.0,100.0,100.0,29.0,100.0,100.0,100.0,100.0,20170709,1
56,disk_42711,A,1,100.0,69.0,100.0,100.0,100.0,35.0,100.0,100.0,0.0,0.0,20170712,1
57,disk_60379,A,1,100.0,78.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170709,1
58,disk_42711,A,1,100.0,69.0,100.0,100.0,100.0,35.0,100.0,100.0,0.0,0.0,20170717,1
59,disk_140979,A,1,100.0,81.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170728,1
60,disk_121839,A,2,100.0,91.0,100.0,100.0,100.0,31.0,100.0,100.0,100.0,100.0,20170720,1
61,disk_91432,A,1,100.0,93.0,95.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170730,1
62,disk_69951,A,1,100.0,81.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170713,0
63,disk_121839,A,2,100.0,92.0,100.0,100.0,100.0,30.0,100.0,100.0,100.0,100.0,20170712,1
64,disk_70825,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170731,0
65,disk_70089,A,1,100.0,85.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170727,0
66,disk_69810,A,1,100.0,84.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170730,0
67,disk_70852,A,1,100.0,82.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170709,0
68,disk_69574,A,1,100.0,82.0,100.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170722,0
69,disk_70090,A,1,100.0,84.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170721,0
70,disk_69733,A,1,100.0,82.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170711,0
71,disk_110667,A,1,100.0,70.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170720,1
72,disk_70035,A,1,100.0,81.0,100.0,100.0,100.0,33.0,100.0,100.0,0.0,0.0,20170730,0
73,disk_70118,A,1,100.0,81.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170719,0
74,disk_61196,A,1,100.0,78.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170711,1
75,disk_45789,A,2,100.0,86.0,100.0,100.0,100.0,26.0,100.0,100.0,100.0,100.0,20170720,1
76,disk_19504,A,1,100.0,96.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170711,1
77,disk_69706,A,1,100.0,83.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170716,0
78,disk_70371,A,1,100.0,80.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170727,0
79,disk_69278,A,1,100.0,81.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170721,0
80,disk_69455,A,1,100.0,82.0,100.0,100.0,100.0,24.0,100.0,100.0,0.0,0.0,20170711,0
81,disk_69634,A,1,100.0,82.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170721,0
82,disk_43271,A,1,100.0,75.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170714,1
83,disk_70338,A,1,100.0,81.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170714,0
84,disk_13117,A,1,100.0,88.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170709,1
85,disk_69889,A,1,100.0,82.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170723,0
86,disk_70093,A,1,100.0,84.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170728,0
87,disk_70536,A,1,100.0,82.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170709,0
88,disk_43271,A,1,100.0,75.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170711,1
89,disk_30546,A,1,89.0,78.0,1.0,100.0,100.0,26.0,97.0,97.0,0.0,0.0,20170715,1
90,disk_37623,A,1,100.0,71.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170717,1
91,disk_70248,A,1,100.0,80.0,100.0,100.0,100.0,33.0,100.0,100.0,0.0,0.0,20170723,0
92,disk_67010,A,1,98.0,81.0,98.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170721,1
93,disk_69943,A,1,100.0,82.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170726,0
94,disk_70431,A,1,100.0,81.0,100.0,100.0,100.0,33.0,100.0,100.0,0.0,0.0,20170713,0
95,disk_148265,A,1,100.0,84.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170717,1
96,disk_70695,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170716,0
97,disk_69616,A,1,100.0,83.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170731,0
98,disk_6924,A,1,100.0,88.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170721,0
99,disk_44296,A,1,100.0,69.0,100.0,100.0,100.0,34.0,100.0,100.0,0.0,0.0,20170709,1
100,disk_121839,A,2,100.0,92.0,100.0,100.0,100.0,30.0,100.0,100.0,100.0,100.0,20170713,1
101,disk_69849,A,1,100.0,85.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170720,0
102,disk_11565,A,1,100.0,88.0,100.0,100.0,99.0,27.0,100.0,100.0,0.0,0.0,20170715,1
103,disk_52868,A,1,100.0,72.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170712,1
104,disk_69768,A,1,100.0,82.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170710,0
105,disk_70096,A,1,100.0,79.0,100.0,100.0,100.0,23.0,100.0,100.0,0.0,0.0,20170730,0
106,disk_118621,A,2,100.0,89.0,100.0,100.0,100.0,30.0,100.0,100.0,100.0,100.0,20170713,1
107,disk_69256,A,1,100.0,81.0,100.0,100.0,100.0,37.0,100.0,100.0,0.0,0.0,20170711,0
108,disk_71265,A,1,100.0,82.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170710,1
109,disk_70095,A,1,100.0,84.0,100.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170731,0
110,disk_71265,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170722,1
111,disk_64274,A,1,100.0,79.0,80.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170711,1
112,disk_30546,A,1,89.0,78.0,1.0,100.0,100.0,25.0,97.0,97.0,0.0,0.0,20170710,1
113,disk_70046,A,1,100.0,81.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170712,0
114,disk_67010,A,1,98.0,81.0,98.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170720,1
115,disk_71265,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170727,1
116,disk_143171,A,1,100.0,80.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170719,1
117,disk_67010,A,1,98.0,81.0,98.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170728,1
118,disk_110667,A,1,100.0,70.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170717,1
119,disk_110667,A,1,100.0,70.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170714,1
120,disk_61196,A,1,100.0,78.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170724,1
121,disk_69518,A,1,100.0,82.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170723,0
122,disk_121839,A,2,100.0,92.0,100.0,100.0,100.0,31.0,100.0,100.0,100.0,100.0,20170715,1
123,disk_70199,A,1,100.0,81.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170719,0
124,disk_70578,A,1,100.0,82.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170715,0
125,disk_70243,A,1,100.0,80.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170727,0
126,disk_69668,A,1,100.0,82.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170721,0
127,disk_6968,A,1,100.0,88.0,100.0,100.0,99.0,26.0,100.0,100.0,0.0,0.0,20170727,0
128,disk_121839,A,2,100.0,91.0,100.0,100.0,100.0,30.0,100.0,100.0,100.0,100.0,20170729,1
129,disk_70879,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170726,0
130,disk_6924,A,1,100.0,88.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170717,0
131,disk_11565,A,1,100.0,88.0,100.0,100.0,99.0,27.0,100.0,100.0,0.0,0.0,20170713,1
132,disk_73921,A,1,100.0,87.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170713,1
133,disk_148265,A,1,100.0,85.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170710,1
134,disk_110667,A,1,100.0,70.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170710,1
135,disk_69506,A,1,100.0,82.0,100.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170727,0
136,disk_29871,A,1,100.0,78.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170713,1
137,disk_70007,A,1,100.0,83.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170716,0
138,disk_6976,A,1,100.0,88.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170721,0
139,disk_70845,A,1,100.0,82.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170724,0
140,disk_69455,A,1,100.0,82.0,100.0,100.0,100.0,24.0,100.0,100.0,0.0,0.0,20170716,0
141,disk_45789,A,2,100.0,86.0,100.0,100.0,100.0,26.0,100.0,100.0,100.0,100.0,20170726,1
142,disk_69942,A,1,100.0,81.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170715,0
143,disk_70312,A,1,100.0,82.0,100.0,100.0,100.0,35.0,100.0,100.0,0.0,0.0,20170710,0
144,disk_70103,A,1,100.0,81.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170725,0
145,disk_121839,A,2,100.0,92.0,100.0,100.0,100.0,31.0,100.0,100.0,100.0,100.0,20170716,1
146,disk_45789,A,2,100.0,86.0,100.0,100.0,100.0,26.0,100.0,100.0,100.0,100.0,20170717,1
147,disk_11565,A,1,100.0,88.0,100.0,100.0,99.0,27.0,100.0,100.0,0.0,0.0,20170723,1
148,disk_69753,A,1,100.0,81.0,100.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170719,0
149,disk_70429,A,1,100.0,84.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170723,0
150,disk_69568,A,1,100.0,82.0,100.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170728,0
151,disk_118621,A,2,100.0,89.0,100.0,100.0,100.0,29.0,100.0,100.0,100.0,100.0,20170710,1
152,disk_67010,A,1,98.0,81.0,98.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170725,1
153,disk_69393,A,1,100.0,81.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170728,0
154,disk_143171,A,1,100.0,80.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170716,1
155,disk_69647,A,1,100.0,81.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170722,0
156,disk_70829,A,1,100.0,81.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170724,0
157,disk_143171,A,1,100.0,80.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170725,1
158,disk_29871,A,1,100.0,78.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170722,1
159,disk_61196,A,1,100.0,78.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170721,1
160,disk_70243,A,1,100.0,80.0,100.0,100.0,100.0,33.0,100.0,100.0,0.0,0.0,20170729,0
161,disk_143171,A,1,100.0,80.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170721,1
162,disk_104879,A,1,100.0,79.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170709,1
163,disk_42711,A,1,100.0,69.0,100.0,100.0,100.0,35.0,100.0,100.0,0.0,0.0,20170711,1
164,disk_61196,A,1,100.0,78.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170719,1
165,disk_148265,A,1,100.0,84.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170719,1
166,disk_70182,A,1,100.0,81.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170718,0
167,disk_110667,A,1,100.0,70.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170718,1
168,disk_70315,A,1,100.0,81.0,100.0,100.0,100.0,34.0,100.0,100.0,0.0,0.0,20170709,0
169,disk_69931,A,1,100.0,82.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170728,0
170,disk_143171,A,1,100.0,80.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170713,1
171,disk_44296,A,1,100.0,69.0,100.0,100.0,100.0,34.0,100.0,100.0,0.0,0.0,20170710,1
172,disk_73921,A,1,100.0,87.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170709,1
173,disk_148265,A,1,100.0,84.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170715,1
174,disk_118319,A,1,100.0,69.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170713,1
175,disk_71265,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170725,1
176,disk_118319,A,1,100.0,69.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170712,1
177,disk_146958,A,1,100.0,80.0,100.0,100.0,100.0,25.0,94.0,94.0,0.0,0.0,20170712,1
178,disk_49001,A,2,100.0,89.0,100.0,100.0,96.0,25.0,100.0,100.0,100.0,100.0,20170713,1
179,disk_70441,A,1,100.0,80.0,100.0,100.0,100.0,34.0,100.0,100.0,0.0,0.0,20170728,0
180,disk_70093,A,1,100.0,85.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170719,0
181,disk_70570,A,1,100.0,83.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170723,0
182,disk_7040,A,1,100.0,88.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170730,0
183,disk_44296,A,1,100.0,69.0,100.0,100.0,100.0,34.0,100.0,100.0,0.0,0.0,20170718,1
184,disk_29871,A,1,100.0,78.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170727,1
185,disk_19504,A,1,98.0,96.0,100.0,100.0,100.0,35.0,100.0,100.0,0.0,0.0,20170721,1
186,disk_70846,A,1,100.0,83.0,100.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170719,0
187,disk_70403,A,1,100.0,86.0,100.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170712,0
188,disk_43271,A,1,100.0,75.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170710,1
189,disk_104879,A,1,100.0,79.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170711,1
190,disk_67010,A,1,98.0,81.0,98.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170711,1
191,disk_70591,A,1,100.0,82.0,100.0,100.0,100.0,25.0,100.0,100.0,0.0,0.0,20170725,0
192,disk_70545,A,1,100.0,84.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170717,0
193,disk_143171,A,1,100.0,80.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170714,1
194,disk_70377,A,1,100.0,81.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170729,0
195,disk_121839,A,2,100.0,92.0,100.0,100.0,100.0,31.0,100.0,100.0,100.0,100.0,20170714,1
196,disk_69358,A,1,100.0,81.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170709,0
197,disk_121839,A,2,100.0,92.0,100.0,100.0,100.0,34.0,100.0,100.0,100.0,100.0,20170711,1
198,disk_70646,A,1,100.0,82.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170724,0
199,disk_70547,A,1,100.0,81.0,100.0,100.0,100.0,33.0,100.0,100.0,0.0,0.0,20170728,0
200,disk_37623,A,1,100.0,70.0,97.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170727,1
201,disk_13117,A,1,100.0,88.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170711,1
202,disk_71265,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170721,1
203,disk_71265,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170716,1
204,disk_70571,A,1,100.0,82.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170727,0
205,disk_45789,A,2,100.0,86.0,100.0,100.0,100.0,26.0,100.0,100.0,100.0,100.0,20170716,1
206,disk_73921,A,1,100.0,87.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170716,1
207,disk_70173,A,1,100.0,81.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170710,0
208,disk_118621,A,2,100.0,89.0,99.0,100.0,100.0,29.0,100.0,100.0,100.0,100.0,20170718,1
209,disk_69646,A,1,100.0,81.0,100.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170709,0
210,disk_70709,A,1,100.0,82.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170710,0
211,disk_42711,A,1,100.0,69.0,100.0,100.0,100.0,35.0,100.0,100.0,0.0,0.0,20170713,1
212,disk_61196,A,1,100.0,78.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170718,1
213,disk_29871,A,1,100.0,78.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170720,1
214,disk_69921,A,1,100.0,90.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170721,0
215,disk_136557,A,1,100.0,78.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170718,1
216,disk_69522,A,1,100.0,82.0,100.0,100.0,100.0,24.0,100.0,100.0,0.0,0.0,20170709,0
217,disk_143171,A,1,100.0,80.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170720,1
218,disk_70862,A,1,100.0,82.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170714,0
219,disk_70497,A,1,100.0,81.0,100.0,100.0,100.0,24.0,100.0,100.0,0.0,0.0,20170722,0
220,disk_7054,A,1,100.0,88.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170718,0
221,disk_11565,A,1,100.0,88.0,100.0,100.0,99.0,27.0,100.0,100.0,0.0,0.0,20170721,1
222,disk_70253,A,1,100.0,80.0,100.0,100.0,100.0,33.0,100.0,100.0,0.0,0.0,20170722,0
223,disk_67010,A,1,98.0,81.0,98.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170712,1
224,disk_7026,A,1,100.0,88.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170715,0
225,disk_70748,A,1,100.0,82.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170725,0
226,disk_76797,A,1,100.0,88.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170711,1
227,disk_30546,A,1,89.0,78.0,1.0,100.0,100.0,26.0,97.0,97.0,0.0,0.0,20170711,1
228,disk_7060,A,1,100.0,88.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170730,0
229,disk_121839,A,2,100.0,91.0,100.0,100.0,100.0,30.0,100.0,100.0,100.0,100.0,20170724,1
230,disk_71265,A,1,100.0,82.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170709,1
231,disk_70736,A,1,100.0,81.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170723,0
232,disk_143171,A,1,100.0,80.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170717,1
233,disk_52868,A,1,100.0,72.0,100.0,100.0,100.0,33.0,100.0,100.0,0.0,0.0,20170728,1
234,disk_71265,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170720,1
235,disk_69295,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170710,0
236,disk_70300,A,1,100.0,81.0,100.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170730,0
